T304	WW(pv,verl,ev)	VRB(finiteness=fin,mood=ind,tense=past,number=sg,infl=unclear)	 kwam, speelde
T305	WW(pv,verl,mv)	VRB(finiteness=fin,mood=ind,tense=past,number=pl,infl=en)	 kwamen, speelden
T306	WW(pv,verl,met-t)	VRB(finiteness=fin,mood=ind,tense=past,number=sg,infl=t)	 kwaamt, gingt
T309	WW(pv,conj,ev)	VRB(finiteness=fin,mood=conj,tense=pres,number=sg,infl=e)	 kome, leve de koning
T310	WW(inf,prenom,zonder)	VRB(finiteness=inf,infl=0)	 de nog te lezen post
T311	WW(inf,prenom,met-e)	VRB(finiteness=inf,infl=e)	 een niet te weerstane verleiding
T312	WW(inf,nom,zonder,zonder-n)	NOU-C(number=sg,infl=0,gender=n,case=nom|acc|dat|voc)	 schaatsen
T314	WW(inf,vrij,zonder)	VRB(finiteness=inf,infl=0)	 zal komen
T315	WW(vd,prenom,zonder)	AA(degree=pos,position=prenom,infl=0,case=nom|acc|dat|voc)	 een verwittigd man, een gekregen paard
T316	WW(vd,prenom,met-e)	AA(degree=pos,position=prenom,infl=e,case=nom|acc|dat|voc)	 een getemde feeks
T317	WW(vd,nom,met-e,zonder-n)	NOU-C(number=sg,infl=0,gender=unclear,case=nom|acc|dat|voc)	 het geschrevene, een gekwetste
T318	WW(vd,nom,met-e,mv-n)	NOU-C(number=pl,infl=n)	 gekwetsten, gedupeerden
T320	WW(vd,vrij,zonder)	VRB(finiteness=pastpart,infl=0)	 is gekomen, een boom versierd met slingers
T321	WW(od,prenom,zonder)	AA(degree=pos,position=prenom,infl=0,case=nom|acc|dat|voc)	 een slapend kind
T322	WW(od,prenom,met-e)	AA(degree=pos,position=prenom,infl=e,case=nom|acc|dat|voc)	 een piano spelende aap, slapende kinderen
T323	WW(od,nom,met-e,zonder-n)	NOU-C(number=sg,infl=0,gender=unclear,case=nom|acc|dat|voc)	 het resterende, een klagende
T324	WW(od,nom,met-e,mv-n)	NOU-C(number=pl,infl=n)	 de wachtenden
T326	WW(od,vrij,zonder)	VRB(finiteness=prespart,infl=0)	 liep lachend weg, al doende leert men
T401	TW(hoofd,prenom,stan)	NUM(type=card,position=prenom,case=nom|dat|acc|voc,infl=0)	 vier cijfers
T402	TW(hoofd,prenom,bijz)	NUM(type=card,position=prenom,case=gen|dat,infl=s|n)	 eens geestes zijn, ten enen male
T403	TW(hoofd,nom,zonder-n,basis)	NUM(type=card,position=free,infl=0)	 er is er een ontsnapt
T404	TW(hoofd,nom,mv-n,basis)	NUM(type=card,position=free,infl=n)	 met z’n vieren
T405	TW(hoofd,nom,zonder-n,dim)	NUM(type=card,position=free,infl=0)	 er is er eentje ontsnapt
T406	TW(hoofd,nom,mv-n,dim)	NUM(type=card,position=free,infl=s)	 met z’n tweetjes
T407	TW(hoofd,vrij)	NUM(type=card,position=free|prenom|postnom)	 veertig worden, zoveel sneller, zes juli
T408	TW(rang,prenom,stan)	NUM(type=ord,position=prenom,case=nom|acc|voc,infl=0)	 de vierde man
T409	TW(rang,prenom,bijz)	NUM(type=ord,position=prenom,case=gen|dat,infl=r|re)	 te elfder ure
T410	TW(rang,nom,zonder-n)	NOU-C(number=sg,infl=0,gender=unclear,case=nom|acc|dat|voc)	 vierde zijn
T411	TW(rang,nom,mv-n)	NOU-C(number=pl,infl=n)	 de eersten
T501a	VNW(pers,pron,nomin,vol,1,ev)	PD(type=pers,case=nom|voc,person=1,number=sg,position=free)	 ik
T501b	VNW(pers,pron,nomin,nadr,1,ev)	PD(type=pers,case=nom|voc,person=1,number=sg,position=free)	 ikzelf, ikke
T501c	VNW(pers,pron,nomin,red,1,ev)	PD(type=pers,case=nom|voc,person=1,number=sg,wf=abbr,position=free)	 ’k
T501d	VNW(pers,pron,nomin,vol,1,mv)	PD(type=pers,case=nom|voc,person=1,number=pl,position=free)	 wij
T501e	VNW(pers,pron,nomin,nadr,1,mv)	PD(type=pers,case=nom|voc,person=1,number=pl,position=free)	 wijzelf
T501f	VNW(pers,pron,nomin,red,1,mv)	PD(type=pers,case=nom|voc,person=1,number=pl,position=free)	 we
T501g	VNW(pers,pron,nomin,vol,2v,ev)	PD(type=pers,case=nom|voc,person=2,number=sg,position=free)	 jij
T501h	VNW(pers,pron,nomin,nadr,2v,ev)	PD(type=pers,case=nom|voc,person=2,number=sg,position=free)	 jijzelf
T501i	VNW(pers,pron,nomin,red,2v,ev)	PD(type=pers,case=nom|voc,person=2,number=sg,position=free)	 je
U501j	VNW(pers,pron,nomin,vol,2b,getal)	PD(type=pers,case=nom|voc,person=2,number=unclear,position=free)	 u
U501k	VNW(pers,pron,nomin,nadr,2b,getal)	PD(type=pers,case=nom|voc,person=2,number=unclear,position=free)	 uzelf
U501l	VNW(pers,pron,nomin,vol,2,getal)	PD(type=pers,case=nom|voc,person=2,number=unclear,position=free)	 gij
U501m	VNW(pers,pron,nomin,nadr,2,getal)	PD(type=pers,case=nom|voc,person=2,number=unclear,position=free)	 gijzelf
