code	CGN tag	aantal (beetje onbegrijpelijk, staat voor aantal verschillende woord+lemma+pos combinaties)	voorbeeldwoordjes	weergave van uitleg in handleiding	opmerking
234	WW(od,e-hulp-of-koppel,met-e,mv-n)	1	moeten	ww hulp of koppelwerkwoord od, meervoud	TAGFOUT
235	WW(od,e-hulp-of-koppel,adv,vrij)	3	zijnde  wordend  trachtend	ww hulp of koppelwerkwoord od, bijwoordelijk	
236	WW(vd,e-hulp-of-koppel,prenom|vrij,zonder)	35	geheten  geprobeerd  geworden  gekomen  getracht	ww hulp of koppelwerkwoord vd, onverbogen	
237	WW(vd,e-hulp-of-koppel,met-e,zonder-n)	1	geraakte	ww hulp of koppelwerkwoord vd, verbogen	
240	WW(pv,e-intrans,??)	4	stoppen  uitkomen  opgeven  steken	ww pv, intrans 	TAGFOUT
241	WW(pv,e-intrans,tgw,e-1,ev)	181	kijk  staan  zing  snap  sla	ww pv, intrans 1 ev tgw	
242	WW(pv,e-intrans,tgw,e-2,ev)	195	moet  leef  Rook  gelooft  vervalt	ww pv, intrans 2 ev tgw	
243	WW(pv,e-intrans,tgw,e-3,ev)	1002	groeit  zet  Rijst  kuurt  dient	ww pv, intrans 3 ev tgw	Met-t kan eventueel scriptgewijs worden toegekend bij 2e en 3e persoon; niet als stam op -t
244	WW(pv,e-intrans,tgw,mv)	612	luisteren  willen  zitten  bloeden  bestaan	ww pv, intrans mv tgw	
245	WW(pv,e-intrans,verl,ev)	1010	glansde  publiceerde  school  fungeerde  dook	ww pv, intrans sg verl	
246	WW(pv,e-intrans,verl,mv)	430	omgingen  trouwden  dansten  stieten  weigerden	ww pv, intrans pl verl	
247	WW(pv,e-intrans,imper,e-zonder-subj)	109	dans  Doe  komt  kijk  let	ww pv, intrans imperatief zonder pronomen	
248	WW(pv,e-intrans,imper,e-met-subj)	23	Snuiten  Lacht  Zorgt  komt  Zorg	ww pv, intrans imperatief met pronomen	
249	WW(pv,e-intrans,conj)	11	zij  inslape  Leve  diene  overdrijve	ww pv, intrans overige vormen	
250	WW(pv,e-trans)	3	verbeeld  vertellen  melken	ww pv, trans 	TAGFOUT
251	WW(pv,e-trans,tgw,e-1,ev)	280	merk  benijd  haat  Zie  besef	ww pv, trans 1 ev tgw	
252	WW(pv,e-trans,tgw,e-2,ev)	365	ziet  aanhebt  leert  kun  meent	ww pv, trans 2 ev tgw	
253	WW(pv,e-trans,tgw,e-3,ev)	1190	betast  spuwt  afzondert  bejegent  afblaft	ww pv, trans 3 ev tgw	
254	WW(pv,e-trans,tgw,mv)	717	verzaken  uithalen  aanbieden  maken  opslokken	ww pv, trans mv tgw	
255	WW(pv,e-trans,verl,ev)	1159	aanhief  beschuldigde  verwachtte  duwde  stemde	ww pv, trans sg verl	
256	WW(pv,e-trans,verl,mv)	428	hielden  voelden  grepen  zochten  vroegen	ww pv, trans pl verl	
257	WW(pv,e-trans,imper,e-zonder-subj)	208	schep  steun  Open  Help  Krijg	ww pv, trans imperatief zonder pronomen	
258	WW(pv,e-trans,imper,e-met-subj)	21	Behandelt  Excuseert  Begint  zie  geeft	ww pv, trans imperatief met pronomen	
259	WW(pv,e-trans,conj)	18	controlere  raadplege  koste  scheide  behoede	ww pv, trans overige vormen	
261	WW(pv,e-refl,tgw,e-1,ev)	23	herinner  zet  beroep  maak  vergis	ww pv, refl 1 ev tgw	
262	WW(pv,e-refl,tgw,e-2,ev)	20	bemoei  inlaat  voel  houdt  verkleedt	ww pv, refl 2 ev tgw	
263	WW(pv,e-refl,tgw,e-3,ev)	164	over-vrijt  strekt  bevindt  handhaaft  loswoelt	ww pv, refl 3 ev tgw	
264	WW(pv,e-refl,tgw,mv)	109	uiten  hoeden  stoten  bezighouden  beperken	ww pv, refl mv tgw	
265	WW(pv,e-refl,verl,ev)	132	splitste  schrok  afgaf  redde  afspeelde	ww pv, refl sg verl	
266	WW(pv,e-refl,verl,mv) 	59	bemoeiden  voelden  stelden  verlieten	ww pv, refl pl verl	
267	WW(pv,e-refl,imper,e-zonder-subj)	12	Beweeg  wacht  Verzet  vergis  vergist	ww pv, refl imperatief zonder pronomen	
268	WW(pv,e-refl,imper,e-met-subj)	1	Hou	ww pv, refl imperatief met pronomen	
