#Hollt.	Holland
honderd.	driehonderd
hooffden.	hoofd
hoogachting.	hoogachting
hoogagting.	hoogachting
Hoogagting.	hoogachting
hoog.	hoog
Hoogmoogende.	hoogmogende
hoolij.	olie
hoope.	hopen
hooren.	horen
Hoorn.	Hoorn
Hopp.	Hopp
houden.	houden
houw.	houden
huewelijk.	huwelijk
Huijden...}	huid
huijsvrouw.	huisvrouw
huishoudster.	huishoudster
#huisom.)	UNRESOLVED
huisvrouw.	huisvrouw
hulp.	hulp
Humbert.	Humbert
huren.	huren
Huysen.	huis
hvij[.]s	Huis Iepenstein
illis.	Tempora mutantur et Nos mutamur in illis
incomoderen.	incommoderen
Indien.	Oost-Indië
ingenomen.	innemen
integendeel.	integendeel
int..	in_het
inwooninge.	inwoning
iouisseren.	jouïsseren
is.:	zijn
is.	zijn
jaaren.	jaar
jaar.	jaar
Jaar.	jaar
jaeren.	jaar
Jaspers.	Jaspers
J.Hogerwaard	J._Hogerwaard
Jnborst.	inborst
Jndia.	Indië
jngesetenen.	ingezetene
Jn.	inhebben
Jong.	De Jong
Jongens.	jongen
jongman.	jonkman
juffrouw.	juffrouw
Jureyaens.	Jurriaans
kaas.	kaas
kan.	kunnen
Kemper.	Kemper
kennen.	kennen
kennis.	kennis
Kerkstraat.	Kerkstraat
Kinderen.	Der Kinderen
kinderen.	kind
Kinderen.	kind
kind.	kind
kistje.	kist
klaagen.	klagen
klage.	klagen
koe.	Koe
Koert.	Koert
Kolombo.	Colombo
komen.	komen
komt.	komen
kon.	kunnen
koomen.	komen
koop.	koop
koopt.	kopen
kort.	kort
koud.	koud
kousen.	vrouwenkous
kraam.	kraam
kralen.	kraal
krijgen.	krijgen
krycht.	krijgen
kryge.	krijgen
krygen.	krijgen
K.schippert	K._Schippert
kunnen.	kunnen
kwaad.	kwaad
Laaden.	afladen
laaden.	laden
laaten.	laten
labor.	sed hoc opus hic labor
laden.	laden
laggen.	lachen
l.brief	brief
leege.	liggen
Leenen.	lenen
leeren.	leren
leert.	leren
leest.	lezen
leeven.	leven
leezen.	voorlezen
leggen.	leggen
legrand.	Le Grand
letteren.	letter
letterhout….18	letterhout_achttien
leuen.	leven
leven.	leven
Leven.	leven
libra..	libra
liefde.	liefde
Liefde.	liefde
lieff.	lief
lief.	lief
Lief.	lief
lief.	papalief
lieft.	lief
liepen.	lopen
liet.	laten
&liev.	en_lief
liev.	liefhebben
ligsgraave.	Ligsgraave
Lijcochtsen.	Lijcochtsen
lijden.	lijden
lijff.	lijf
Liuorno.	Livorno
Loff.	godlof
lof.	godlof
logeert.	logeren
logiment.	logement
Londen.	Londen
loopt.	tegenlopen
lossen.,	lossen
lucht.	lucht
Luitenant.	luitenant
lu[..]kes	Lukas
maaken.	gebruikmaken
maaken.	maken
maakt.	maken
maal.	ditmaal
maanden.	maand
maand.	maand
macken.	bekendmaken
maecken.	bekendmaken
maecken.	maken
maecken.	schoonmaken
maeij[...]strate	UNRESOLVED
maeke.denckt	maken_denken
maeke.	maken
maet.	maat
mag.	mogen
Mag.	mogen
maken.	maken
maken.	overmaken
malkanderen.	malkander
Man.	Kraijenhof - de Man
man.	man
Man.	man
Martins.	Sint Maarten
medebrenghen.	meebrengen
meel.	bollenmeel
meer.	meer
Mejufvrouw.	mejuffrouw
melde.	melden
melden.	melden
mensche.	mens
mensg.	mens
merken.	merken
middag.	middag
middelburg.	Middelburg
Middelburg.	Middelburg
Midelburge.	Middelburg
mij.	ik
mijn.	ik
mi[..]nne	mijn
minzaam[.]st	minzaam
missen.	missen
miste.	missen
moeder.	moeder
Moeder.	moeder
moet.	meemoeten
moet.	moeten
mogen.	mogen
Monfrere.	monfreer
monsieur.	monsieur
Monsieur.	monsieur
Moorlandt.	Immens wed. Moorlandt
morzelen.	morzel
Mundi.	Semper qui regnat omnia Mundi
naagels.	nagel
naam.	naam
naby.	nabij
Nacheng.	Nacheng
na.	daarna
Naek.	Naek
naer.	naar
nakomt.	nakomen
Napoli.</anders>	Napels
nasien.	nazien
natien.	natie
Nazareth.	nazaret
nederlant.	Nieuw-Nederland
Neef.)	neef
Neef.	neef
neemen.	meenemen
neemen.	nemen
neem.	waarnemen
Neev.	neef
