TITEL	GENRE	GENRE	GENRE	SUBGENRE	SUBGENRE	SUBGENRE	SUBGENRE	AUTEUR	OPMERKING
roman_van_den_riddere_metter_mouwen	fiction	verse	secular	epic	Chivalric romance	 	 	unknown	 
roman_van_den_riddere_metter_mouwen_fragm_br	fiction	Verse	secular	epic	Chivalric romance	 	 	unknown	 
roman_van_florimont	fiction	Verse	secular	epic	Chivalric romance	 	 	unknown	 
roman_van_iechemas	fiction	Verse	secular	epic	Chivalric romance	 	 	unknown	 
roman_van_jonathas_ende_rosafiere_fragm_a	fiction	Verse	secular	epic	Chivalric romance	chapbook	 	unknown	 
roman_van_jonathas_ende_rosafiere_fragm_g	fiction	verse	secular	epic	Chivalric romance	chapbook	 	unknown	 
roman_van_lancelot	fiction	verse	secular	epic	Chivalric romance	 	 	unknown	 
roman_van_lancelot_fragm_br	fiction	Verse	secular	epic	Chivalric romance	 	 	unknown	 
roman_van_limborch	fiction	Verse	secular	epic	Chivalric romance	 	 	Heinriic	 
roman_van_moriaen	fiction	Verse	secular	epic	Chivalric romance	 	 	unknown	 
roman_van_perchevael	fiction	verse	secular	epic	Chivalric romance	 	 	unknown	 
roman_van_perchevael_fragm_br	fiction	Verse	secular	epic	Chivalric romance	 	 	unknown	 
roman_van_saladin	fiction	Verse	secular	epic	Chivalric romance	 	 	unknown	 
roman_van_torec	fiction	Verse	secular	epic	Chivalric romance	 	 	Jacob van Maerlant	 
roman_van_walewein	fiction	Verse	secular	epic	Chivalric romance	 	 	Penninc + Pieter Vostaert	 
rose	fiction	Verse	secular	 	 	 	 	Heinric	 
rubben	fiction	Verse	secular	drama	 	 	 	unknown	 
schepping	Non-fiction	Verse	religious	 	Theology / ethics	 	 	Augustijnken	 
segheliin_van_jerusalem	fiction	Verse	secular	epic	Chivalric romance	 	 	unknown	 
sinte_franciscus_leven	Non-fiction	Verse	religious	epic	Legendary hagiography	 	 	Jacob van Maerlant	 
sinte_kunera	Non-fiction	verse	religious	epic	Legendary hagiography	 	 	unknown	 
sint_patricius_vagevuur	fiction	Verse	religious	 	legend	 	 	unknown	 
sint_servaes	Non-fiction	Verse	religious	epic	Legendary hagiography	 	 	Heinric van Veldeke	 
slag_van_crecy	Non-fiction	Verse	secular	 	history	 	 	unknown	 
speghel_der_wijsheit	Non-fiction	Verse	secular	 	Philosophy / ethics	 	 	Jan Praet	 
spel_van_abraham_en_sara	fiction	Verse	religious	drama	 	 	 	unknown	 
spel_van_de_antichrist	fiction	Verse	religious	drama	 	 	 	unknown	 
spiegel_der_jongers	Non-fiction	Verse	secular	stanzaic	Philosophy / ethics	chapbook	 	Lambertus Goetman	 
spiegel_der_sonden	Non-fiction	Verse	secular	 	Philosophy / ethics	 	 	unknown	 
spiegel_der_sonden_fragm_ge1	Non-fiction	Verse	secular	 	Philosophy / ethics	 	 	unknown	 
spiegel_der_sonden_fragm_ge2	Non-fiction	Verse	secular	 	Philosophy / ethics	 	 	unknown	 
spiegel_der_sonden_fragm_mu	Non-fiction	Verse	secular	 	Philosophy / ethics	 	 	unknown	 
spiegel_historiael__1_3_4_maerlant	Non-fiction	Verse	secular	 	history	 	 	Jacob van Maerlant	 
spiegel_historiael__2	Non-fiction	Verse	secular	 	history	 	 	Philip Utenbroeke	 
spiegel_historiael__2_fragm_ah	Non-fiction	Verse	secular	 	history	 	 	Philip Utenbroeke	 
spiegel_historiael__2_fragm_an	Non-fiction	Verse	secular	 	history	 	 	Philip Utenbroeke	 
spiegel_historiael__2_fragm_brg	Non-fiction	Verse	secular	 	history	 	 	Philip Utenbroeke	 
spiegel_historiael__2_fragm_brs	Non-fiction	verse	secular	 	history	 	 	Philip Utenbroeke	 
spiegel_historiael__2_fragm_d	Non-fiction	Verse	secular	 	history	 	 	Philip Utenbroeke	 
spiegel_historiael__2_fragm_ge1	Non-fiction	Verse	secular	 	history	 	 	Philip Utenbroeke	 
spiegel_historiael__2_fragm_l	Non-fiction	Verse	secular	 	history	 	 	Philip Utenbroeke	 
spiegel_historiael__4_velthem__fragm_be	Non-fiction	Verse	secular	 	history	 	 	Lodewijk van Velthem	 
spiegel_historiael__4_velthem__fragm_brs	Non-fiction	verse	secular	 	history	 	 	Lodewijk van Velthem	 
spiegel_historiael__4_velthem__fragm_ge1	Non-fiction	Verse	secular	 	history	 	 	Lodewijk van Velthem	 
spiegel_historiael__4_velthem__fragm_ge3	Non-fiction	Verse	secular	 	history	 	 	Lodewijk van Velthem	 
spiegel_historiael__4_velthem__fragm_ge4	Non-fiction	verse	secular	 	history	 	 	Lodewijk van Velthem	 
spiegel_historiael__4_velthem__fragm_ge5	Non-fiction	Verse	secular	 	history	 	 	Lodewijk van Velthem	 
spiegel_historiael__4_velthem__fragm_ge6	Non-fiction	Verse	secular	 	history	 	 	Lodewijk van Velthem	 
spiegel_historiael__4_velthem__fragm_ge7	Non-fiction	Verse	secular	 	history	 	 	Lodewijk van Velthem	 
spiegel_historiael__4_velthem__fragm_l	Non-fiction	Verse	secular	 	history	 	 	Lodewijk van Velthem	 
spiegel_historiael__4_velthem__fragm_m	Non-fiction	Verse	secular	 	history	 	 	Lodewijk van Velthem	 
spiegel_historiael__4_velthem__fragm_we	Non-fiction	Verse	secular	 	history	 	 	Lodewijk van Velthem	 
spiegel_historiael__4_velthem__fragm_wr	Non-fiction	Verse	secular	 	history	 	 	Lodewijk van Velthem	 
spiegel_historiael__5	Non-fiction	Verse	secular	 	history	 	 	Lodewijk van Velthem	 
strofische_gedichten	fiction	verse	religious	stanzaic	song	 	 	Hadewijch	 
suverlijc_boecxken	fiction	Verse	religious	stanzaic	song	 	 	not applicable	 
theophilus	fiction	Verse	religious	epic	legend	 	 	unknown	 
tien_plaghen	Non-fiction	verse	religious	 	Theology / ethics	 	 	unknown	 
truwanten	fiction	Verse	secular	drama	 	 	 	unknown	 
tvveeste_musyck_boexken	fiction	Verse	secular	stanzaic	song	 	 	not applicable	 
tweede_martijn	Non-fiction	Verse	secular	stanzaic	Philosophy / ethics	 	 	Jacob van Maerlant	 
valentijn_en_nameloos_fragm_be	fiction	Verse	secular	epic	Chivalric romance	 	 	unknown	 
valentijn_en_nameloos_fragm_ge	fiction	Verse	secular	epic	Chivalric romance	 	 	unknown	 
vanden_levene_ons_heren	Non-fiction	Verse	religious	epic	 	 	 	unknown	 
vanden_vier_vingheren_ende_vanden_dume	Non-fiction	Verse	religious	 	Theology / ethics	 	 	unknown	 
vanden_winter_ende_vanden_somer	fiction	Verse	secular	drama	 	 	 	unknown	 
vander_rijcheit_ende_vander_doot	Non-fiction	Verse	secular	 	Philosophy / ethics	 	 	Augustijnken	 
van_den_derden_eduwaert	Non-fiction	Verse	secular	 	history	 	 	Jan van Boendale	 
van_den_lande_van_over_zee	Non-fiction	Verse	secular	stanzaic	 	 	 	Jacob van Maerlant	 
van_den_neghen_besten__kort	Non-fiction	Verse	secular	 	history	 	 	unknown	 
van_den_neghen_besten__lang	Non-fiction	verse	secular	 	history	 	 	unknown	 
van_den_verkeerden_martijn	Non-fiction	Verse	secular	stanzaic	Philosophy / ethics	 	 	Jacob van Maerlant(?)	 
van_den_vii_vroeden_van_binnen_rome	fiction	Verse	secular	chapbook	 	 	 	unknown	 
van_den_vijf_vrouden	Non-fiction	Verse	religious	stanzaic	 	 	 	Jacob van Maerlant	 
van_den_vos_reynaerde	fiction	Verse	secular	epic	 	 	 	Willem	 
van_der_wive_wonderlijcheit_kort	Non-fiction	Verse	secular	 	 	 	 	unknown	 
van_der_wive_wonderlijcheit_lang	Non-fiction	Verse	secular	 	 	 	 	unknown	 
van_ghevene	Non-fiction	Verse	secular	 	 	 	 	unknown	 
van_maskeroen	fiction	Verse	religious	 	 	 	 	unknown	 
van_ons_heren_wonden	Non-fiction	Verse	religious	 	 	 	 	Jacob van Maerlant(?)	 
van_saladijn	fiction	Verse	secular	epic	Chivalric romance	 	 	Hein van Aken	 
van_sente_brandane	fiction	Verse	religious	epic	legend	travelogue	 	unknown	 
van_ses_vaerwen	Non-fiction	Verse	secular	 	 	 	 	unknown	 
van_smeinscen_lede	Non-fiction	Verse	secular	artes	medicine	biology	 	unknown	 
vierde_martijn	Non-fiction	Verse	secular	stanzaic	 	 	 	unknown	 
vlaamse_rose_fragm_beu	fiction	Verse	secular	 	 	 	 	unknown	 
walewein_ende_keye	fiction	Verse	secular	epic	Chivalric romance	 	 	unknown	 
willem_van_oringen	fiction	Verse	secular	epic	Chivalric romance	 	 	Claes van Haerlem	 
wrake_van_ragisel	fiction	Verse	secular	epic	Chivalric romance	 	 	unknown	 
wrake_van_ragisel_fragm_d1	fiction	Verse	secular	epic	Chivalric romance	 	 	unknown	 
