TITEL	GENRE	GENRE	GENRE	SUBGENRE	SUBGENRE	SUBGENRE	SUBGENRE	AUTEUR	OPMERKING
boec_exemplaer	Non-fiction	Verse	secular	 	Philosophy / ethics	 	 	unknown	 
boec_van_den_houte	fiction	Verse	religious	 	legend	 	 	unknown	 
borchgrave_van_couchi	fiction	Verse	secular	epic	Chivalric romance	 	 	unknown	 
borchgrave_van_couchi_fragm_a	fiction	Verse	secular	epic	Chivalric romance	 	 	unknown	 
borchgrave_van_couchi_fragm_br	fiction	Verse	secular	epic	Chivalric romance	 	 	unknown	 
borchgrave_van_couchi_fragm_dp	fiction	Verse	secular	epic	Chivalric romance	 	 	unknown	 
borchgravinne_van_vergi__1	fiction	Verse	secular	epic	Chivalric romance	 	 	unknown	 
borchgravinne_van_vergi__2	fiction	Verse	secular	epic	Chivalric romance	 	 	unknown	 
boudewijn_van_seborch_fragm_a	fiction	Verse	secular	epic	Chivalric romance	 	 	unknown	 
boudewijn_van_seborch_fragm_m	fiction	verse	secular	epic	Chivalric romance	 	 	unknown	 
brabantsche_yeesten__1-5	Non-fiction	verse	secular	 	history	 	 	Jan van Boendale	 
brabantsche_yeesten__6	Non-fiction	Verse	secular	 	history	 	 	unknown	 
brabantsche_yeesten__7	Non-fiction	verse	secular	 	history	 	 	unknown	 
buskenblazer	fiction	verse	secular	drama	 	 	 	unknown	 
chanson_d_aspremont	fiction	Verse	secular	epic	Chivalric romance	 	 	unknown	 
clausule_vander_bible	Non-fiction	Verse	religious	stanzaic	Theology / ethics	 	 	Jacob van Maerlant	 
collectief_lunarium_i	Non-fiction	Verse	secular	artes	science	Astronomy / astrology	 	unknown	 
collectief_lunarium_ii	Non-fiction	Verse	secular	artes	science	Astronomy / astrology	 	unknown	 
collectief_lunarium_iii	Non-fiction	Verse	secular	artes	science	Astronomy / astrology	 	unknown	 
cyromanchie_van_den_pape_van_den_hamme_chiromantie	Non-fiction	Verse	secular	artes	science	chiromancy	 	unknown	 
dat_boec_vander_wraken	Non-fiction	Verse	secular	 	Philosophy / ethics	 	 	Jan van Boendale	 
derde_martijn	Non-fiction	Verse	secular	stanzaic	Theology / ethics	 	 	Jacob van Maerlant	 
der_kerken_claghe	Non-fiction	Verse	secular	stanzaic	 	 	 	Jacob van Maerlant	 
der_leken_spieghel	Non-fiction	Verse	secular	 	Philosophy / ethics	 	 	Jan van Boendale	 
der_mannen_ende_vrouwen_heimelijcheit	Non-fiction	Verse	secular	artes	medicine	 	 	unknown	 
der_minnen_loep	Non-fiction	Verse	secular	 	Philosophy / ethics	 	 	Dirc Potter	 
der_vrouwen_heimelijcheit	Non-fiction	Verse	secular	artes	medicine	 	 	unknown	 
der_ystorien_bloeme	Non-fiction	Verse	religious	 	legend	 	 	unknown	 
devoot_ende_profitelyck_boecxken_h	fiction	Verse	secular	stanzaic	song	 	 	not applicable	 
de_spieghel_der_menscheliker_behoudenesse	Non-fiction	Verse	religious	 	 	 	 	unknown	 
dietsche_doctrinale	Non-fiction	Verse	secular	 	Philosophy / ethics	 	 	unknown	 
die_dietsche_lucidarius	Non-fiction	Verse	religious	 	Theology / ethics	 	 	unknown	 
dispitacie	Non-fiction	Verse	secular	stanzaic	Philosophy / ethics	 	 	Jan de Weert	 
disputacie_van_onser_vrouwen	Non-fiction	Verse	religious	stanzaic	Theology / ethics	 	 	Jacob van Maerlant	 
drie_daghe_here	fiction	Verse	secular	drama	 	 	 	unknown	 
dystorie_van_saladine_h	fiction	Verse	secular	epic	Chivalric romance	chapbook	 	unknown	 
eerste_martijn	Non-fiction	Verse	secular	stanzaic	Philosophy / ethics	 	 	Jacob van Maerlant	 
esmoreit	fiction	Verse	secular	drama	Chivalric romance	 	 	unknown	 
esopet	fiction	Verse	secular	 	 	 	 	Calfstaf + Noydekin (?)	 
ferguut	fiction	Verse	secular	epic	Chivalric romance	 	 	unknown	 
fierabras	fiction	verse	secular	epic	Chivalric romance	 	 	unknown	 
flandrijs_fragm_s	fiction	Verse	secular	epic	Chivalric romance	 	 	unknown	 
floovent	fiction	Verse	secular	epic	Chivalric romance	 	 	unknown	 
florent_ende_durant	fiction	Verse	secular	epic	Chivalric romance	 	 	unknown	 
florigout_fragm_db	fiction	Verse	secular	epic	Chivalric romance	 	 	unknown	 
florigout_fragm_l	fiction	Verse	secular	epic	Chivalric romance	 	 	unknown	 
floris_ende_blancefloer	fiction	Verse	secular	epic	Chivalric romance	 	 	Diederic van Assenede	 
frenesie	fiction	Verse	secular	 	 	 	 	unknown	 
fysionomie	Non-fiction	Verse	secular	artes	science	physionomy	 	unknown	 
gedichten_hildegaersberch__hs_g	fiction	Verse	secular	 	 	 	 	Willem van Hildegaersberch	 
gedicht_over_de_hemeltekenen	Non-fiction	Verse	secular	artes	science	Astronomy / astrology	 	unknown	 
geraert_van_viane	fiction	Verse	secular	epic	Chivalric romance	 	 	unknown	 
gloriant	fiction	Verse	secular	drama	 	 	 	unknown	 
glose_op_het_sint-jansevangelie	Non-fiction	Verse	religious	 	Theology / ethics	 	 	Augustijnken	 
