code	correctieJesse	correctie Thomas	correctie Jesse	omschrijving
224	VRB(type=mai,finiteness=fin,mood=ind|conj,tense=past,infl=n)		VRB(type=mai,finiteness=fin,mood=ind|conj,tense=past,infl=n)	persoonsvorm o.v.t. (zelfst.ww.), uitgang -n
225	VRB(type=mai,finiteness=fin,mood=ind|conj,tense=past,infl=r|re)		VRB(type=mai,finiteness=fin,mood=ind|conj,tense=past,infl=r|re)	persoonsvorm o.v.t. (zelfst.ww.), uitgang -r|-re
226	VRB(type=mai,finiteness=fin,mood=ind|conj,tense=past,infl=a)		VRB(type=mai,finiteness=fin,mood=ind|conj,tense=past,infl=a)	persoonsvorm o.v.t. (zelfst.ww.), uitgang -a
229	VRB(type=mai,finiteness=fin,mood=ind|conj,tense=past,infl=other)		VRB(type=mai,finiteness=fin,mood=ind|conj,tense=past,infl=other)	persoonsvorm o.v.t. (zelfst.ww.), uitgang latijn, onduidelijk of evident fout geschreven
230	VRB(type=aux|cop,finiteness=fin,mood=ind|conj,tense=past,infl=0)		VRB(type=aux|cop,finiteness=fin,mood=ind|conj,tense=past,infl=0)	persoonsvorm o.v.t. (koppel-|hulpww.), geen uitgang
231	VRB(type=aux|cop,finiteness=fin,mood=ind|conj,tense=past,infl=e)		VRB(type=aux|cop,finiteness=fin,mood=ind|conj,tense=past,infl=e)	persoonsvorm o.v.t. (koppel-|hulpww.), uitgang -e
232	VRB(type=aux|cop,finiteness=fin,mood=ind|conj,tense=past,infl=s|th)		VRB(type=aux|cop,finiteness=fin,mood=ind|conj,tense=past,infl=s|th)	persoonsvorm o.v.t. (koppel-|hulpww.), uitgang -s|-th
233	VRB(type=aux|cop,finiteness=fin,mood=ind|conj,tense=past,infl=t)		VRB(type=aux|cop,finiteness=fin,mood=ind|conj,tense=past,infl=t)	persoonsvorm o.v.t. (koppel-|hulpww.), uitgang -t
234	VRB(type=aux|cop,finiteness=fin,mood=ind|conj,tense=past,infl=n)		VRB(type=aux|cop,finiteness=fin,mood=ind|conj,tense=past,infl=n)	persoonsvorm o.v.t. (koppel-|hulpww.), uitgang -n
235	VRB(type=aux|cop,finiteness=fin,mood=ind|conj,tense=past,infl=r|re)		VRB(type=aux|cop,finiteness=fin,mood=ind|conj,tense=past,infl=r|re)	persoonsvorm o.v.t. (koppel-|hulpww.), uitgang -r|-re
239	VRB(type=aux|cop,finiteness=fin,mood=ind|conj,tense=past,infl=other)		VRB(type=aux|cop,finiteness=fin,mood=ind|conj,tense=past,infl=other)	persoonsvorm o.v.t. (koppel-|hulpww.), uitgang latijn, onduidelijk of evident fout geschreven
240	VRB(type=aux|cop|mai,finiteness=fin,mood=imp,infl=0)		VRB(type=aux|cop|mai,finiteness=fin,mood=imp,infl=0)	imperatief, geen uitgang
241	VRB(type=aux|cop|mai,finiteness=fin,mood=imp,infl=e)		VRB(type=aux|cop|mai,finiteness=fin,mood=imp,infl=e)	imperatief, uitgang -e
242	VRB(type=aux|cop|mai,finiteness=fin,mood=imp,infl=s|th)		VRB(type=aux|cop|mai,finiteness=fin,mood=imp,infl=s|th)	imperatief, uitgang -s|-th
243	VRB(type=aux|cop|mai,finiteness=fin,mood=imp,infl=t)		VRB(type=aux|cop|mai,finiteness=fin,mood=imp,infl=t)	imperatief, uitgang -t
244	VRB(type=aux|cop|mai,finiteness=fin,mood=imp,infl=n)		VRB(type=aux|cop|mai,finiteness=fin,mood=imp,infl=n)	imperatief, uitgang -n
249	VRB(type=other,finiteness=fin,mood=imp,infl=other)		VRB(type=other,finiteness=fin,mood=imp,infl=other)	imperatief, uitgang latijn, onduidelijk of evident fout geschreven
250	VRB(type=mai,finiteness=inf|ger,infl=0)		VRB(type=mai,finiteness=inf|ger,infl=0)	infinitief (zelfst.ww.), geen uitgang
251	VRB(type=mai,finiteness=inf|ger,infl=e)		VRB(type=mai,finiteness=inf|ger,infl=e)	infinitief (zelfst.ww.), uitgang -e
252	VRB(type=mai,finiteness=inf|ger,infl=s|th)		VRB(type=mai,finiteness=inf|ger,infl=s|th)	infinitief (zelfst.ww.), uitgang -s|-th
253	VRB(type=mai,finiteness=inf|ger,infl=t)		VRB(type=mai,finiteness=inf|ger,infl=t)	infinitief (zelfst.ww.), uitgang -t
254	VRB(type=mai,finiteness=inf|ger,infl=n)		VRB(type=mai,finiteness=inf|ger,infl=n)	infinitief (zelfst.ww.), uitgang -n
256	VRB(type=mai,finiteness=inf|ger,infl=a)		VRB(type=mai,finiteness=inf|ger,infl=a)	infinitief (zelfst.ww.), uitgang -a
