219	VRB(type=auxiliary,finiteness=finite,tense=present,inflection=other)	pos=WW,feat.pvtijd=tgw	persoonsvorm o.t.t. (koppel-/hulpww.), uitgang latijn, onduidelijk of evident fout geschreven
220	VRB(type=main,finiteness=finite,tense=past,inflection=0)	pos=WW,feat.pvtijd=verl	persoonsvorm o.v.t. (zelfst.ww.), geen uitgang
221	VRB(type=main,finiteness=finite,tense=past,inflection=e)	pos=WW,feat.pvtijd=verl,feat.form=-e	persoonsvorm o.v.t. (zelfst.ww.), uitgang -e
222	VRB(type=main,finiteness=finite,tense=past,inflection=s/th)	pos=WW,feat.pvtijd=verl,feat.form=-s/-th	persoonsvorm o.v.t. (zelfst.ww.), uitgang -s/-th
223	VRB(type=main,finiteness=finite,tense=past,inflection=t)	pos=WW,feat.pvtijd=verl,feat.form=-t	persoonsvorm o.v.t. (zelfst.ww.), uitgang -t
224	VRB(type=main,finiteness=finite,tense=past,inflection=n)	pos=WW,feat.pvtijd=verl,feat.form=-n	persoonsvorm o.v.t. (zelfst.ww.), uitgang -n
225	VRB(type=main,finiteness=finite,tense=past,inflection=r/re)	pos=WW,feat.pvtijd=verl,feat.form=-r/-re	persoonsvorm o.v.t. (zelfst.ww.), uitgang -r/-re
226	VRB(type=main,finiteness=finite,tense=past,inflection=a)	pos=WW,feat.pvtijd=verl,feat.form=-a	persoonsvorm o.v.t. (zelfst.ww.), uitgang -a
229	VRB(type=main,finiteness=finite,tense=past,inflection=other)	pos=WW,feat.pvtijd=verl	persoonsvorm o.v.t. (zelfst.ww.), uitgang latijn, onduidelijk of evident fout geschreven
230	VRB(type=auxiliary,finiteness=finite,tense=past,inflection=0)	pos=WW,feat.pvtijd=verl	persoonsvorm o.v.t. (koppel-/hulpww.), geen uitgang
231	VRB(type=auxiliary,finiteness=finite,tense=past,inflection=e)	pos=WW,feat.pvtijd=verl,feat.form=-e	persoonsvorm o.v.t. (koppel-/hulpww.), uitgang -e
232	VRB(type=auxiliary,finiteness=finite,tense=past,inflection=s/th)	pos=WW,feat.pvtijd=verl,feat.form=-s/-th	persoonsvorm o.v.t. (koppel-/hulpww.), uitgang -s/-th
233	VRB(type=auxiliary,finiteness=finite,tense=past,inflection=t)	pos=WW,feat.pvtijd=verl,feat.form=-t	persoonsvorm o.v.t. (koppel-/hulpww.), uitgang -t
234	VRB(type=auxiliary,finiteness=finite,tense=past,inflection=n)	pos=WW,feat.pvtijd=verl,feat.form=-n	persoonsvorm o.v.t. (koppel-/hulpww.), uitgang -n
235	VRB(type=auxiliary,finiteness=finite,tense=past,inflection=r/re)	pos=WW,feat.pvtijd=verl,feat.form=-r/-re	persoonsvorm o.v.t. (koppel-/hulpww.), uitgang -r/-re
236	VRB(type=auxiliary,finiteness=finite,tense=past,inflection=a)	pos=WW,feat.pvtijd=verl,feat.form=-a	persoonsvorm o.v.t. (koppel-/hulpww.), uitgang -a
239	VRB(type=auxiliary,finiteness=finite,tense=past,inflection=other)	pos=WW,feat.pvtijd=verl	persoonsvorm o.v.t. (koppel-/hulpww.), uitgang latijn, onduidelijk of evident fout geschreven
240	VRB(type=-,finiteness=finite,mood=imperative,inflection=0)	pos=WW	imperatief, geen uitgang
241	VRB(type=-,finiteness=finite,mood=imperative,inflection=e)	pos=WW,feat.form=-e	imperatief, uitgang -e
242	VRB(type=-,finiteness=finite,mood=imperative,inflection=s/th)	pos=WW,feat.form=-s/-th	imperatief, uitgang -s/-th
243	VRB(type=-,finiteness=finite,mood=imperative,inflection=t)	pos=WW,feat.form=-t	imperatief, uitgang -t
244	VRB(type=-,finiteness=finite,mood=imperative,inflection=n)	pos=WW,feat.form=-n	imperatief, uitgang -n
245	VRB(type=-,finiteness=finite,mood=imperative,inflection=r/re)	pos=WW,feat.form=-r/-re	imperatief, uitgang -r/-re
246	VRB(type=-,finiteness=finite,mood=imperative,inflection=a)	pos=WW,feat.form=-a	imperatief, uitgang -a
249	VRB(type=-,finiteness=finite,mood=imperative,inflection=other)	pos=WW	imperatief, uitgang latijn, onduidelijk of evident fout geschreven
250	VRB(type=main,finiteness=finite,inflection=0)	pos=WW,feat.wvorm=inf	infinitief (zelfst.ww.), geen uitgang
251	VRB(type=main,finiteness=finite,inflection=e)	pos=WW,feat.wvorm=inf,feat.form=-e	infinitief (zelfst.ww.), uitgang -e
252	VRB(type=main,finiteness=finite,inflection=s/th)	pos=WW,feat.wvorm=inf,feat.form=-s/-th	infinitief (zelfst.ww.), uitgang -s/-th
253	VRB(type=main,finiteness=finite,inflection=t)	pos=WW,feat.wvorm=inf,feat.form=-t	infinitief (zelfst.ww.), uitgang -t
254	VRB(type=main,finiteness=finite,inflection=n)	pos=WW,feat.wvorm=inf,feat.form=-n	infinitief (zelfst.ww.), uitgang -n
255	VRB(type=main,finiteness=finite,inflection=r/re)	pos=WW,feat.wvorm=inf,feat.form=-r/-re	infinitief (zelfst.ww.), uitgang -r/-re
256	VRB(type=main,finiteness=finite,inflection=a)	pos=WW,feat.wvorm=inf,feat.form=-a	infinitief (zelfst.ww.), uitgang -a
259	VRB(type=main,finiteness=finite,inflection=other)	pos=WW,feat.wvorm=inf	infinitief (zelfst.ww.), uitgang latijn, onduidelijk of evident fout geschreven
260	VRB(type=auxiliary,finiteness=inf/ger,inflection=0)	pos=WW,feat.wvorm=inf	infinitief (koppel-/hulpww.), geen uitgang
261	VRB(type=auxiliary,finiteness=inf/ger,inflection=e)	pos=WW,feat.wvorm=inf,feat.form=-e	infinitief (koppel-/hulpww.), uitgang -e
262	VRB(type=auxiliary,finiteness=inf/ger,inflection=s/th)	pos=WW,feat.wvorm=inf,feat.form=-s/-th	infinitief (koppel-/hulpww.), uitgang -s/-th
263	VRB(type=auxiliary,finiteness=inf/ger,inflection=t)	pos=WW,feat.wvorm=inf,feat.form=-t	infinitief (koppel-/hulpww.), uitgang -t
264	VRB(type=auxiliary,finiteness=inf/ger,inflection=n)	pos=WW,feat.wvorm=inf,feat.form=-n	infinitief (koppel-/hulpww.), uitgang -n
265	VRB(type=auxiliary,finiteness=inf/ger,inflection=r/re)	pos=WW,feat.wvorm=inf,feat.form=-r/-re	infinitief (koppel-/hulpww.), uitgang -r/-re
266	VRB(type=auxiliary,finiteness=inf/ger,inflection=a)	pos=WW,feat.wvorm=inf,feat.form=-a	infinitief (koppel-/hulpww.), uitgang -a
